Season,Goals,Opponent Goals,Predicted Win
2025,2,0,1
2025,0,3,0
2025,2,1,1
2025,0,2,0
2025,0,2,0
2025,2,1,0
2025,0,2,0
2025,2,0,1
2025,1,1,0
2025,3,1,1
2025,2,3,0
2025,1,1,0
2025,2,2,0
2025,1,1,0
2025,0,1,0
2025,3,2,1
2025,3,1,1
2025,3,1,1
2025,3,0,1
2025,0,0,0
2025,4,2,1
2025,1,1,0
2025,4,2,1
2025,2,1,0
2025,0,1,0
2025,2,0,1
2025,2,1,1
2025,1,2,0
2025,0,4,0
2025,2,0,1
2025,6,2,1
2025,0,2,0
2025,1,3,0
2025,1,1,0
2025,2,1,0
2025,1,1,0
2025,3,0,1
2025,1,2,0
2025,2,3,0
2025,1,0,0
2025,1,0,0
2025,3,0,1
2025,1,1,0
2025,1,3,0
2025,2,2,0
2025,1,2,0
2025,1,0,0
2025,2,1,0
2025,2,2,0
2025,1,3,0
